# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/NPs10nmEGPa.txt
# Range: 159.86975 to 2095.75376 (points=1650)
# Parameters:
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = -19.165666 +/- 0.106200
# g0 = 25.611915 +/- 0.265667
# q = -4.335132 +/- 0.089116
# a = 0.543100 +/- 0.000000e+00
# L = 13.752900 +/- 0.000000e+00
# N = 0.010172 +/- 4.799225e-05
# y0 = 0.012844 +/- 2.130371e-03
# N_g = 0.068287 +/- 4.067750e-03
# x0 = 4.789492e+02 +/- 1.273262
# gg = 50.322616 +/- 4.343101
# x	experimental	fitted	residual
676.797	0.0163108	0.0312574	-0.0149466
678.063	0.0163664	0.0314847	-0.0151182
679.329	0.0198828	0.0317092	-0.0118264
680.594	0.0220763	0.0319311	-0.00985483
681.86	0.0231491	0.0321503	-0.00900118
683.125	0.0162997	0.0323668	-0.0160671
684.39	0.0151339	0.0325807	-0.0174468
685.655	0.0145538	0.032792	-0.0182382
686.92	0.0178259	0.0330008	-0.0151749
688.184	0.0160055	0.0332071	-0.0172017
689.448	0.0148747	0.033411	-0.0185363
690.712	0.0149951	0.0336124	-0.0186173
691.976	0.0120303	0.0338114	-0.0217811
693.24	0.0103247	0.0340081	-0.0236834
694.503	0.0115395	0.0342025	-0.022663
695.766	0.0112557	0.0343945	-0.0231389
697.029	0.0141584	0.0345844	-0.020426
698.292	0.0146574	0.034772	-0.0201146
699.554	0.0170731	0.0349574	-0.0178843
700.816	0.017173	0.0351407	-0.0179677
702.078	0.0151699	0.0353218	-0.0201519
703.34	0.0108483	0.0355009	-0.0246526
704.602	0.0105491	0.0356779	-0.0251288
705.863	0.00759327	0.0358528	-0.0282596
707.125	0.00801302	0.0360258	-0.0280128
708.386	0.00918622	0.0361968	-0.0270106
709.646	0.0131999	0.0363659	-0.023166
710.907	0.0138302	0.0365331	-0.0227028
712.167	0.0188637	0.0366984	-0.0178347
713.427	0.0170664	0.0368618	-0.0197954
714.687	0.017106	0.0370235	-0.0199174
715.947	0.0150933	0.0371833	-0.02209
717.206	0.0166851	0.0373414	-0.0206563
718.466	0.0138047	0.0374977	-0.023693
