# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/10nm_50L.txt
# Range: 400.7176 to 639.5074 (points=287)
# Parameters:
# alpha = 78.956800 +/- 0.000000e+00
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = 5.752042 +/- 0.128497
# g0 = 9.195193 +/- 0.118439
# q = -14.183292 +/- 0.387130
# a = 0.543100 +/- 0.000000e+00
# L = 11.398515 +/- 0.528492
# N = 6.390345e+02 +/- 6.082504
# y0 = 0.018937 +/- 5.662146e-04
# x	experimental	fitted	residual
559.049	0.0168251	0.0199422	-0.00311713
559.877	0.0164449	0.0198278	-0.00338291
560.705	0.01673	0.0197239	-0.00299389
561.533	0.0162548	0.0196298	-0.00337502
562.36	0.0156844	0.0195445	-0.00386011
563.188	0.0153042	0.0194675	-0.00416327
564.015	0.0151141	0.0193979	-0.00428384
564.842	0.0141635	0.0193353	-0.00517178
565.669	0.0151141	0.019279	-0.00416494
566.496	0.0138783	0.0192286	-0.00535029
567.323	0.014924	0.0191836	-0.00425967
568.15	0.014924	0.0191436	-0.00421968
568.976	0.0141635	0.0191083	-0.00494476
569.803	0.0142586	0.0190771	-0.00481857
570.629	0.0130228	0.0190499	-0.00602712
571.455	0.0138783	0.0190264	-0.00514805
572.281	0.0137833	0.0190062	-0.00522292
573.106	0.0137833	0.0189891	-0.00520584
573.932	0.0145437	0.0189749	-0.00443119
574.757	0.0140684	0.0189634	-0.00489494
575.583	0.0147338	0.0189543	-0.00422049
576.408	0.0141635	0.0189476	-0.00478406
577.233	0.0129278	0.0189429	-0.00601515
578.058	0.0142586	0.0189402	-0.00468167
578.882	0.0131179	0.0189394	-0.00582149
579.707	0.0138783	0.0189402	-0.00506185
580.532	0.0132129	0.0189426	-0.00572964
581.356	0.013403	0.0189464	-0.00554336
582.18	0.0125475	0.0189516	-0.00640405
583.004	0.013403	0.018958	-0.00555496
583.828	0.0135932	0.0189656	-0.00537242
584.651	0.0132129	0.0189742	-0.00576129
585.475	0.0140684	0.0189838	-0.0049154
586.298	0.0143536	0.0189944	-0.00464077
587.122	0.0143536	0.0190058	-0.00465216
