# Peakfit fitted function data
# Source: E:/VS_CODE/PCM_Fano/10nm_50L_peak.txt
# Parameters:
# iC=171400.0
# iD=100000.0
# ib=6.997263404373758
# ig0=4.5
# iq=51.50252989943741
# ia=0.5431
# iL=5.000775239876671
# N=0.0005248358402419427
# y0=912.5168087271778
#
# iw	y_model	y	residual
558.2204	990.3981982446062	743.0	-247.3981982446062
559.0486	988.4501060298289	732.0	-256.45010602982893
559.8768	986.5934759057532	728.0	-258.59347590575317
560.7047	984.8230292344493	731.0	-253.82302923444934
561.5325	983.132856032279	726.0	-257.13285603227905
562.3602	981.5179409290442	720.0	-261.51794092904424
563.1877	979.9738449921484	716.0	-263.97384499214843
564.015	978.4962804672817	714.0	-264.49628046728174
564.8422	977.0811188743514	704.0	-273.08111887435143
565.6693	975.7247167909343	714.0	-261.7247167909343
566.4962	974.4238528859714	701.0	-273.4238528859714
567.323	973.1752297686244	712.0	-261.1752297686244
568.1497	971.9759406211248	712.0	-259.9759406211248
568.9761	970.8235561612453	704.0	-266.8235561612453
569.8025	969.71513479206	705.0	-264.71513479206
570.6287	968.6486017287544	692.0	-276.64860172875444
571.4547	967.6217567149332	701.0	-266.6217567149332
572.2806	966.6324279893814	700.0	-266.6324279893814
573.1063	965.6788218281143	700.0	-265.67882182811434
573.9319	964.7590323651339	708.0	-256.75903236513386
574.7574	963.8713888701851	703.0	-260.8713888701851
575.5827	963.0144271725457	710.0	-253.01442717254565
576.4078	962.1866674191891	704.0	-258.1866674191891
577.2329	961.3865295061737	691.0	-270.3865295061737
578.0577	960.6130032568055	705.0	-255.61300325680554
578.8824	959.8646725110412	693.0	-266.86467251104125
579.707	959.1403897086245	701.0	-258.1403897086245
580.5315	958.439073620977	694.0	-264.43907362097696
581.3558	957.7597858584198	696.0	-261.75978585841983
582.1799	957.1015569483468	687.0	-270.1015569483468
583.0039	956.4633953646221	696.0	-260.4633953646221
583.8278	955.8444432300289	698.0	-257.8444432300289
584.6514	955.2440329335884	694.0	-261.2440329335884
585.475	954.6611750773469	703.0	-251.6611750773469
586.2984	954.0952847159241	706.0	-248.0952847159241
587.1216	953.5456675408922	706.0	-247.54566754089217
587.9448	953.011537480516	703.0	-250.01153748051604
588.7677	952.49246752162	709.0	-243.49246752162003
589.5905	951.987738712822	698.0	-253.98773871282197
590.4132	951.4967931725309	707.0	-244.49679317253094
591.2357	951.0191579722826	711.0	-240.01915797228264
592.0581	950.5542685845589	710.0	-240.55426858455894
592.8804	950.1016454348292	718.0	-232.10164543482915
593.7025	949.6608848874355	705.0	-244.6608848874355
594.5244	949.2315480221623	709.0	-240.23154802216231
595.3462	948.8131663913911	712.0	-236.81316639139106
596.1678	948.4053941368858	713.0	-235.40539413688577
596.9894	948.0077553463276	724.0	-224.0077553463276
597.8107	947.6200340163759	720.0	-227.62003401637594
598.632	947.2417435806387	726.0	-221.24174358063874
599.453	946.8726928053003	731.0	-215.8726928053003
600.2739	946.5124753123976	737.0	-209.51247531239756
601.0947	946.1607916895725	730.0	-216.16079168957253
601.9153	945.8173968670446	730.0	-215.81739686704464
602.7358	945.481973460852	739.0	-206.48197346085203
603.5562	945.1542591020848	734.0	-211.15425910208478
604.3763	944.8340796770162	740.0	-204.83407967701623
605.1964	944.521075985689	738.0	-206.52107598568898
606.0163	944.2150936446124	748.0	-196.21509364461235
606.8361	943.9158728153266	732.0	-211.91587281532657
607.6557	943.6232365583528	751.0	-192.6232365583528
608.4752	943.3369443287213	748.0	-195.3369443287213
609.2945	943.0568344310494	754.0	-189.05683443104942
610.1136	942.7827169382202	742.0	-200.78271693822023
610.9327	942.5143445683403	731.0	-211.51434456834033
611.7516	942.2516095313058	746.0	-196.2516095313058
612.5703	941.9943431868501	740.0	-201.99434318685007
613.3889	941.742352903233	738.0	-203.74235290323304
614.2073	941.4955143880162	724.0	-217.4955143880162
615.0257	941.2536189691516	728.0	-213.2536189691516
615.8438	941.0166116365853	723.0	-218.01661163658525
616.6619	940.7842670832817	725.0	-215.78426708328175
617.4797	940.5565372284183	729.0	-211.55653722841828
618.2974	940.3332371163146	729.0	-211.33323711631465
619.115	940.114243749238	716.0	-224.11424374923797
619.9324	939.8994645472155	717.0	-222.89946454721553
620.7498	939.6887325649385	719.0	-220.6887325649385
621.5669	939.4820140704816	721.0	-218.48201407048157
622.3839	939.2791505525387	727.0	-212.27915055253868
623.2007	939.0800633837631	707.0	-232.0800633837631
624.0175	938.8846045757846	713.0	-225.88460457578458
624.834	938.6927494276515	710.0	-228.6927494276515
625.6505	938.5043342070625	722.0	-216.50433420706247
626.4667	938.319338061269	708.0	-230.31933806126904
627.2828	938.1376279700637	716.0	-222.1376279700637
628.0988	937.9591203380019	718.0	-219.95912033800187
628.9147	937.7837343101941	711.0	-226.78373431019406
629.7303	937.6114335500051	709.0	-228.61143355000513
630.5459	937.4420784600591	718.0	-219.44207846005907
631.3613	937.2756373454876	699.0	-238.27563734548755
632.1766	937.1120183770975	709.0	-228.11201837709746
632.9917	936.9511724778449	712.0	-224.95117247784492
633.8067	936.7930129415699	700.0	-236.79301294156994
634.6215	936.6374943013833	704.0	-232.6374943013833
635.4362	936.4845346072683	713.0	-223.4845346072683
636.2507	936.3340917144648	700.0	-236.33409171446476
637.0651	936.1860880935684	710.0	-226.1860880935684
637.8794	936.0404669197953	702.0	-234.04046691979534
638.6935	935.89719053759	702.0	-233.89719053758995
639.5074	935.756204656718	699.0	-236.75620465671796
640.3213	935.6174227748629	696.0	-239.61742277486292
641.1349	935.480845330238	705.0	-230.48084533023803
641.9485	935.3463727253501	705.0	-230.34637272535008
642.7618	935.2140067568362	710.0	-225.21400675683617
643.5751	935.0836521866582	703.0	-232.08365218665824
644.3882	934.955296367514	707.0	-227.95529636751405
645.2012	934.828879724731	714.0	-220.828879724731
646.014	934.7043752681353	701.0	-233.70437526813532
646.8267	934.581726339208	705.0	-229.581726339208
647.6392	934.460907853149	704.0	-230.46090785314902
648.4515	934.3418804278542	706.0	-228.34188042785422
649.2638	934.224577105367	696.0	-238.22457710536696
650.0759	934.1089901545172	704.0	-230.1089901545172
650.8878	933.9950833471404	693.0	-240.9950833471404
651.6996	933.8828077130182	700.0	-233.88280771301822
652.5113	933.7721295505004	702.0	-231.77212955050038
653.3228	933.6630294096244	699.0	-234.66302940962441
654.1342	933.5554616420377	711.0	-222.5554616420377
654.9454	933.4494081582695	698.0	-235.44940815826953
655.7565	933.3448253629232	696.0	-237.3448253629232
656.5674	933.2416964312315	702.0	-231.2416964312315
657.3782	933.1399796992271	695.0	-238.13997969922707
658.1888	933.0396595185624	689.0	-244.03965951856242
658.9993	932.9406960438637	690.0	-242.94069604386368
659.8097	932.8430627544731	694.0	-238.84306275447307
660.6199	932.7467456112429	704.0	-228.7467456112429
661.43	932.6517072978545	691.0	-241.6517072978545
662.2399	932.5579347598297	692.0	-240.55793475982966
663.0497	932.4653922511268	697.0	-235.4653922511268
663.8594	932.3740564277854	696.0	-236.37405642778538
664.6689	932.2839155844805	686.0	-246.2839155844805
665.4783	932.1949361640533	688.0	-244.19493616405327
666.2875	932.1071072883119	688.0	-244.1071072883119
667.0966	932.0203967624107	689.0	-243.02039676241066
667.9055	931.934794480202	688.0	-243.93479448020196
668.7142	931.8502799209535	686.0	-245.85027992095354
669.5229	931.7668125429345	692.0	-239.76681254293453
670.3314	931.6843938161754	687.0	-244.68439381617543
671.1398	931.6029946361374	680.0	-251.6029946361374
